name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
y_rep[5],0.0901304,0.028710900000000004,1.68271,-2.46391,0.0716178,2.805,3434.97,2177.29,0.999944
y_rep[6],2.70243,0.0263293,1.6925299999999999,-0.00817472,2.73525,5.38467,4132.31,2619.3,0.9996950000000001
y_rep[7],2.1977,0.0273868,1.67955,-0.436332,2.14857,4.89795,3760.99,2383.94,1.0003600000000001
y_rep[8],-1.12313,0.0382362,1.7944799999999999,-4.12584,-1.03335,1.65462,2202.57,1396.12,0.9998940000000001
y_rep[9],1.25516,0.025932599999999997,1.65372,-1.40846,1.25488,3.93339,4066.57,2577.64,0.999755
y_rep[10],-1.66372,0.028528500000000002,1.61402,-4.25096,-1.68367,0.9794940000000001,3200.8,2028.86,1.0005
y_rep[11],-2.18275,0.024431099999999997,1.62923,-4.77241,-2.18414,0.41803100000000004,4447.12,2818.85,0.9997729999999999
y_rep[12],4.55807,0.0329624,1.8048099999999998,1.56765,4.63537,7.4036100000000005,2997.95,1900.28,1.00044
y_rep[13],0.45206499999999994,0.027949599999999998,1.67757,-2.334,0.45790600000000004,3.10482,3602.57,2283.52,0.999898
y_rep[14],0.8845040000000001,0.0256743,1.56366,-1.6675,0.875481,3.42895,3709.26,2351.15,0.9995280000000001
y_rep[15],0.936624,0.0248886,1.63053,-1.6647599999999998,1.01763,3.4064900000000002,4291.99,2720.52,1.00013
y_rep[16],0.0510569,0.024143099999999997,1.6114,-2.63858,0.0805531,2.64689,4454.72,2823.66,1.00051
y_rep[17],-1.35004,0.024275,1.58376,-3.9633300000000005,-1.33651,1.29715,4256.57,2698.07,0.999482
y_rep[18],1.0319200000000002,0.0318052,1.66218,-1.5913899999999999,0.9868790000000001,3.8069699999999997,2731.25,1731.23,0.9999809999999999
y_rep[19],-2.61702,0.0372969,1.76836,-5.33025,-2.71964,0.405611,2248.0,1424.91,1.0003
y_rep[20],2.3214900000000003,0.0282202,1.68812,-0.391507,2.3126599999999997,5.06784,3578.37,2268.18,0.9996459999999999
y_rep[21],1.9042700000000001,0.0243769,1.61438,-0.711054,1.90431,4.51912,4385.88,2780.03,1.0003
y_rep[22],1.04484,0.0267923,1.6632,-1.65143,1.0762399999999999,3.6160900000000002,3853.6,2442.64,1.00027
y_rep[23],3.6076599999999996,0.033798,1.69622,0.836066,3.6658699999999995,6.25659,2518.73,1596.52,1.00017
y_rep[24],3.14216,0.0245025,1.62022,0.52575,3.1371700000000002,5.723,4372.5,2771.55,1.0002799999999998
y_rep[25],-0.52369,0.026677299999999998,1.6505599999999998,-3.08561,-0.5686640000000001,2.15449,3828.03,2426.43,0.9993479999999999
y_rep[26],-2.69205,0.0257277,1.6316,-5.26812,-2.6985900000000003,0.000303086,4021.84,2549.28,1.00105
